,WIN$N_open,WIN$N_close,WIN$N_high,WIN$N_low,WIN$N_tick_volume,WIN$N_real_volume,WIN$N_spread
636249,101085.0,101085.0,101120.0,101075.0,769,2654,5
636250,101085.0,101155.0,101160.0,101075.0,1324,4276,5
636251,101160.0,101095.0,101175.0,101090.0,2312,9615,5
636252,101100.0,101075.0,101110.0,101075.0,1273,5384,5
636253,101080.0,101065.0,101130.0,101065.0,1574,5437,5
636254,101065.0,101070.0,101105.0,101055.0,1410,4796,5
636255,101070.0,101095.0,101110.0,101065.0,1342,5525,5
636256,101095.0,101115.0,101140.0,101080.0,1526,5639,5
636257,101110.0,101115.0,101130.0,101095.0,1101,3736,5
636258,101115.0,101090.0,101125.0,101080.0,870,3479,5
636259,101085.0,101060.0,101100.0,101055.0,1157,4196,5
636260,101060.0,101220.0,101250.0,101060.0,5912,17991,5
636261,101210.0,101580.0,101665.0,101200.0,20724,85097,5
636262,101580.0,101625.0,101795.0,101575.0,14915,54358,5
636263,101620.0,101630.0,101725.0,101600.0,6615,24321,5
636264,101635.0,101640.0,101695.0,101570.0,6886,27111,5
636265,101640.0,101760.0,101765.0,101625.0,6484,24360,5
636266,101755.0,101790.0,101880.0,101745.0,11169,38549,5
636267,101785.0,101740.0,101800.0,101680.0,7287,24444,5
636268,101745.0,101740.0,101750.0,101700.0,2448,9646,5
636269,101740.0,101665.0,101755.0,101660.0,3776,13180,5
636270,101660.0,101580.0,101670.0,101575.0,5937,19680,5
636271,101575.0,101580.0,101640.0,101530.0,7886,24273,5
636272,101575.0,101520.0,101625.0,101505.0,4593,15584,5
636273,101520.0,101515.0,101570.0,101495.0,4499,14455,5
636274,101520.0,101535.0,101560.0,101515.0,1538,5924,5
636275,101540.0,101540.0,101565.0,101500.0,2606,9367,5
636276,101545.0,101570.0,101580.0,101500.0,4708,15774,5
636277,101565.0,101530.0,101570.0,101465.0,4287,15716,5
636278,101530.0,101460.0,101535.0,101460.0,3468,13287,5
636279,101460.0,101500.0,101500.0,101455.0,2451,8103,5
636280,101500.0,101515.0,101565.0,101485.0,4159,15963,5
636281,101520.0,101520.0,101540.0,101505.0,1337,4965,5
636282,101520.0,101635.0,101660.0,101510.0,6171,18710,5
636283,101630.0,101645.0,101710.0,101615.0,7230,24820,5
636284,101650.0,101710.0,101765.0,101590.0,8386,28028,5
636285,101715.0,101725.0,101745.0,101680.0,3057,13121,5
636286,101725.0,101760.0,101795.0,101720.0,5717,20427,5
636287,101755.0,101720.0,101770.0,101690.0,3743,14035,5
636288,101720.0,101900.0,101950.0,101705.0,15125,52326,5
636289,101895.0,101920.0,101990.0,101890.0,7903,29491,5
636290,101915.0,101865.0,101970.0,101855.0,5910,20754,5
636291,101870.0,101805.0,101880.0,101775.0,7894,30524,5
636292,101805.0,101730.0,101815.0,101690.0,6386,22309,5
636293,101725.0,101645.0,101730.0,101590.0,7814,26792,5
636294,101650.0,101630.0,101705.0,101625.0,4654,18510,5
